batch,epochs,evaluation_0,evaluation_1,hidden,optimizer
256.0,300.0,0.14144764720885694,0.31634164404303144,128.0,adam
256.0,500.0,0.1870435485848732,0.3651030803154825,128.0,adam
256.0,700.0,0.15164029521825687,0.3102508547307149,128.0,adam
32.0,100.0,0.26971626323457903,0.44247870712257054,128.0,SGD
32.0,300.0,0.18608657540713805,0.3657710354410144,128.0,SGD
32.0,500.0,0.12013702038777578,0.2870808897389193,128.0,SGD
32.0,700.0,0.2124647642879753,0.3882487825482485,128.0,SGD
64.0,100.0,0.4677347844977859,0.5683302802968446,128.0,SGD
64.0,300.0,0.16652317094597885,0.3372561238973661,128.0,SGD
64.0,500.0,0.1679773879641632,0.35021634304661325,128.0,SGD
64.0,700.0,0.1694891290831007,0.3453342171972,128.0,SGD
128.0,100.0,0.3633412656737622,0.5083420682591921,128.0,SGD
128.0,300.0,0.2613534319758125,0.4303152563999284,128.0,SGD
128.0,500.0,0.25107696187374656,0.4249664648814094,128.0,SGD
128.0,700.0,0.1547937468669252,0.3430275076584198,128.0,SGD
256.0,100.0,0.42146277076684335,0.5110426004511223,128.0,SGD
256.0,300.0,0.19761795580740826,0.3622000830262736,128.0,SGD
256.0,500.0,0.4105403659954821,0.5121769803421423,128.0,SGD
256.0,700.0,0.29569514477608483,0.4615387162074619,128.0,SGD
